score,model,n_classes,n_dim,n_points,noise_std,max_depth
0.4679245283018868,hdt,5,6,1325,0.0025181264487930677,1
0.4679245283018868,kdt,5,6,1325,0.0025181264487930677,1
0.4679245283018868,edt,5,6,1325,0.0025181264487930677,1
0.7381489841986456,hdt,2,4,2215,0.4869060237272406,4
0.7291196388261851,kdt,2,4,2215,0.4869060237272406,4
0.6884875846501128,edt,2,4,2215,0.4869060237272406,4
0.7791164658634538,hdt,4,6,1242,0.23062674428488877,5
0.7791164658634538,kdt,4,6,1242,0.23062674428488877,5
0.7871485943775101,edt,4,6,1242,0.23062674428488877,5
0.39664804469273746,hdt,8,10,894,0.38443697740333665,3
0.39664804469273746,kdt,8,10,894,0.38443697740333665,3
0.41899441340782123,edt,8,10,894,0.38443697740333665,3
0.9771428571428571,hdt,3,7,875,0.05847319527445949,3
0.9771428571428571,kdt,3,7,875,0.05847319527445949,3
0.9828571428571429,edt,3,7,875,0.05847319527445949,3
0.8627450980392157,hdt,3,7,763,0.06641932839204939,1
0.8627450980392157,kdt,3,7,763,0.06641932839204939,1
0.8627450980392157,edt,3,7,763,0.06641932839204939,1
0.8258064516129032,hdt,7,12,2322,0.1364798443282053,7
0.8150537634408602,kdt,7,12,2322,0.1364798443282053,7
0.8086021505376344,edt,7,12,2322,0.1364798443282053,7
0.6987704918032787,hdt,6,7,2439,0.30970473706706,8
0.7131147540983607,kdt,6,7,2439,0.30970473706706,8
0.6823770491803278,edt,6,7,2439,0.30970473706706,8
0.9932432432432432,hdt,2,12,1478,0.0061634555787515866,6
1.0,kdt,2,12,1478,0.0061634555787515866,6
1.0,edt,2,12,1478,0.0061634555787515866,6
0.3367003367003367,hdt,8,11,1484,0.42876382971722815,2
0.3367003367003367,kdt,8,11,1484,0.42876382971722815,2
0.3164983164983165,edt,8,11,1484,0.42876382971722815,2
0.9536178107606679,hdt,6,10,2692,0.058104520382639246,6
0.9499072356215214,kdt,6,10,2692,0.058104520382639246,6
0.961038961038961,edt,6,10,2692,0.058104520382639246,6
0.5657894736842105,hdt,7,6,2656,0.3422109980498432,2
0.5657894736842105,kdt,7,6,2656,0.3422109980498432,2
0.518796992481203,edt,7,6,2656,0.3422109980498432,2
0.9333333333333333,hdt,2,3,2100,0.48960644483877624,3
0.9380952380952381,kdt,2,3,2100,0.48960644483877624,3
0.9357142857142857,edt,2,3,2100,0.48960644483877624,3
0.9176470588235294,hdt,3,16,846,0.16743503478384536,7
0.9176470588235294,kdt,3,16,846,0.16743503478384536,7
0.8941176470588236,edt,3,16,846,0.16743503478384536,7
0.7958115183246073,hdt,5,4,952,0.39537330438766577,9
0.8167539267015707,kdt,5,4,952,0.39537330438766577,9
0.7958115183246073,edt,5,4,952,0.39537330438766577,9
1.0,hdt,3,7,58,0.37040629575501155,7
1.0,kdt,3,7,58,0.37040629575501155,7
0.8333333333333334,edt,3,7,58,0.37040629575501155,7
0.6341085271317829,hdt,9,4,3225,0.26313923016910135,4
0.627906976744186,kdt,9,4,3225,0.26313923016910135,4
0.6,edt,9,4,3225,0.26313923016910135,4
0.9324324324324325,hdt,4,15,1477,0.09150660456486426,4
0.9324324324324325,kdt,4,15,1477,0.09150660456486426,4
0.9155405405405406,edt,4,15,1477,0.09150660456486426,4
0.440625,hdt,6,9,1600,0.3896898601778473,2
0.428125,kdt,6,9,1600,0.3896898601778473,2
0.453125,edt,6,9,1600,0.3896898601778473,2
0.7142857142857143,hdt,9,6,805,0.2506269641192155,7
0.7267080745341615,kdt,9,6,805,0.2506269641192155,7
0.6645962732919255,edt,9,6,805,0.2506269641192155,7
0.5964125560538116,hdt,9,4,1115,0.28396821844641185,8
0.6098654708520179,kdt,9,4,1115,0.28396821844641185,8
0.547085201793722,edt,9,4,1115,0.28396821844641185,8
0.6348314606741573,hdt,9,12,889,0.17740070964068672,4
0.6404494382022472,kdt,9,12,889,0.17740070964068672,4
0.5898876404494382,edt,9,12,889,0.17740070964068672,4
0.6340425531914894,hdt,6,12,1173,0.2996304930367223,8
0.6170212765957447,kdt,6,12,1173,0.2996304930367223,8
0.574468085106383,edt,6,12,1173,0.2996304930367223,8
0.8876404494382022,hdt,3,9,442,0.07787278412404441,5
0.9213483146067416,kdt,3,9,442,0.07787278412404441,5
0.9550561797752809,edt,3,9,442,0.07787278412404441,5
0.8367346938775511,hdt,7,13,489,0.040757297522508174,4
0.8469387755102041,kdt,7,13,489,0.040757297522508174,4
0.7857142857142857,edt,7,13,489,0.040757297522508174,4
0.5833333333333334,hdt,7,7,840,0.13981317384143205,3
0.5892857142857143,kdt,7,7,840,0.13981317384143205,3
0.47619047619047616,edt,7,7,840,0.13981317384143205,3
0.954954954954955,hdt,2,11,1663,0.15783823999732777,4
0.9519519519519519,kdt,2,11,1663,0.15783823999732777,4
0.9519519519519519,edt,2,11,1663,0.15783823999732777,4
