,model,n_samples,trial,time
0,Fast-HyperDT,2,0,0.0006661415100097656
1,HyperDT,2,0,0.00011610984802246094
2,Fast-HyperDT,2,1,0.0004546642303466797
3,HyperDT,2,1,9.989738464355469e-05
4,Fast-HyperDT,2,2,0.0003848075866699219
5,HyperDT,2,2,9.5367431640625e-05
6,Fast-HyperDT,2,3,0.0004069805145263672
7,HyperDT,2,3,9.512901306152344e-05
8,Fast-HyperDT,2,4,0.0003814697265625
9,HyperDT,2,4,9.417533874511719e-05
10,Fast-HyperDT,2,5,0.00036907196044921875
11,HyperDT,2,5,9.34600830078125e-05
12,Fast-HyperDT,2,6,0.00036263465881347656
13,HyperDT,2,6,9.274482727050781e-05
14,Fast-HyperDT,2,7,0.00035834312438964844
15,HyperDT,2,7,9.226799011230469e-05
16,Fast-HyperDT,2,8,0.0003600120544433594
17,HyperDT,2,8,9.274482727050781e-05
18,Fast-HyperDT,2,9,0.00039005279541015625
19,HyperDT,2,9,9.1552734375e-05
20,Fast-HyperDT,4,0,0.0003948211669921875
21,HyperDT,4,0,0.00011730194091796875
22,Fast-HyperDT,4,1,0.0003695487976074219
23,HyperDT,4,1,0.00010013580322265625
24,Fast-HyperDT,4,2,0.0003898143768310547
25,HyperDT,4,2,0.0007493495941162109
26,Fast-HyperDT,4,3,0.00036644935607910156
27,HyperDT,4,3,9.846687316894531e-05
28,Fast-HyperDT,4,4,0.0003991127014160156
29,HyperDT,4,4,0.0007188320159912109
30,Fast-HyperDT,4,5,0.0003857612609863281
31,HyperDT,4,5,0.0006940364837646484
32,Fast-HyperDT,4,6,0.0003871917724609375
33,HyperDT,4,6,0.0007064342498779297
34,Fast-HyperDT,4,7,0.0003609657287597656
35,HyperDT,4,7,9.632110595703125e-05
36,Fast-HyperDT,4,8,0.00041031837463378906
37,HyperDT,4,8,0.0007076263427734375
38,Fast-HyperDT,4,9,0.0003871917724609375
39,HyperDT,4,9,0.0006923675537109375
40,Fast-HyperDT,8,0,0.00036978721618652344
41,HyperDT,8,0,9.751319885253906e-05
42,Fast-HyperDT,8,1,0.00040268898010253906
43,HyperDT,8,1,0.001386880874633789
44,Fast-HyperDT,8,2,0.00042939186096191406
45,HyperDT,8,2,0.001964569091796875
46,Fast-HyperDT,8,3,0.00038886070251464844
47,HyperDT,8,3,0.001390695571899414
48,Fast-HyperDT,8,4,0.00040841102600097656
49,HyperDT,8,4,0.0022988319396972656
50,Fast-HyperDT,8,5,0.0003857612609863281
51,HyperDT,8,5,0.00136566162109375
52,Fast-HyperDT,8,6,0.00043129920959472656
53,HyperDT,8,6,0.002288818359375
54,Fast-HyperDT,8,7,0.00038504600524902344
55,HyperDT,8,7,0.0013599395751953125
56,Fast-HyperDT,8,8,0.00038504600524902344
57,HyperDT,8,8,0.001384735107421875
58,Fast-HyperDT,8,9,0.0003826618194580078
59,HyperDT,8,9,0.0013494491577148438
60,Fast-HyperDT,16,0,0.0004425048828125
61,HyperDT,16,0,0.006327152252197266
62,Fast-HyperDT,16,1,0.00041294097900390625
63,HyperDT,16,1,0.004421710968017578
64,Fast-HyperDT,16,2,0.0003859996795654297
65,HyperDT,16,2,0.0026688575744628906
66,Fast-HyperDT,16,3,0.00044274330139160156
67,HyperDT,16,3,0.00633692741394043
68,Fast-HyperDT,16,4,0.00035643577575683594
69,HyperDT,16,4,9.679794311523438e-05
70,Fast-HyperDT,16,5,0.0004138946533203125
71,HyperDT,16,5,0.004081010818481445
72,Fast-HyperDT,16,6,0.0003883838653564453
73,HyperDT,16,6,0.002662181854248047
74,Fast-HyperDT,16,7,0.0003864765167236328
75,HyperDT,16,7,0.0026731491088867188
76,Fast-HyperDT,16,8,0.0004379749298095703
77,HyperDT,16,8,0.004846811294555664
78,Fast-HyperDT,16,9,0.00040721893310546875
79,HyperDT,16,9,0.0034198760986328125
