model of geometry	distance function	hdt_reg_mse	edt_reg_mse	max_depth	n_dim	seed	noise_std	n_samples	n_classes
poincare	euclidean	0.0008711850350083009	214903.86528190493	5	2	42	0.1	1000	2
poincare	poincare	0.008443481609569066	213952.14970638347	5	2	42	0.1	1000	2
hyperboloid	euclidean	5.954323139964097	203175.8282275572	5	2	42	0.1	1000	2
hyperboloid	hyperboloid	4.197303245644864e-08	192259.02133396096	5	2	42	0.1	1000	2
poincare	euclidean	0.0037452078346317964	205066.4058221817	5	2	42	0.1	1000	5
poincare	poincare	0.036798868959847505	204128.52672896406	5	2	42	0.1	1000	5
hyperboloid	euclidean	81.6061089117859	186730.30220388394	5	2	42	0.1	1000	5
hyperboloid	hyperboloid	2.4780837041892535e-07	214839.6360916882	5	2	42	0.1	1000	5
poincare	euclidean	0.004825772360036571	232540.05849661177	5	2	42	0.1	1000	10
poincare	poincare	0.05874537757256377	231437.6153739103	5	2	42	0.1	1000	10
hyperboloid	euclidean	519.2443763347699	206878.5626005734	5	2	42	0.1	1000	10
hyperboloid	hyperboloid	1.4965484561180501e-06	185148.2417337422	5	2	42	0.1	1000	10
poincare	euclidean	0.0036867347698903274	210109.84417489145	5	2	42	0.5	1000	2
poincare	poincare	0.04763754434404685	209023.9697586056	5	2	42	0.5	1000	2
hyperboloid	euclidean	231.43130571177724	185804.5914618016	5	2	42	0.5	1000	2
hyperboloid	hyperboloid	3.35381285612527e-07	197575.82099198515	5	2	42	0.5	1000	2
poincare	euclidean	0.015297960447573207	202647.05285626437	5	2	42	0.5	1000	5
poincare	poincare	0.25731330056879065	201390.40807492263	5	2	42	0.5	1000	5
hyperboloid	euclidean	7745050.507450465	763749.6715361445	5	2	42	0.5	1000	5
hyperboloid	hyperboloid	9.050336154583193e-05	211253.01564983255	5	2	42	0.5	1000	5
poincare	euclidean	0.021398744796637566	231326.6072321884	5	2	42	0.5	1000	10
poincare	poincare	0.3654942684197043	229901.24049343515	5	2	42	0.5	1000	10
hyperboloid	euclidean	186813.69917279933	522353.2883920613	5	2	42	0.5	1000	10
hyperboloid	hyperboloid	1.4035548210265969e-05	186642.0332027788	5	2	42	0.5	1000	10
poincare	euclidean	0.0016184891123304014	210499.5104265086	5	2	43	0.1	1000	2
poincare	poincare	0.022318192123844026	209782.54241278765	5	2	43	0.1	1000	2
hyperboloid	euclidean	270.32973463987196	202141.6057247593	5	2	43	0.1	1000	2
hyperboloid	hyperboloid	5.558683426208365e-06	200951.6614035748	5	2	43	0.1	1000	2
poincare	euclidean	0.0021355080743147435	190427.4941381293	5	2	43	0.1	1000	5
poincare	poincare	0.024280533915698684	189653.20235405504	5	2	43	0.1	1000	5
hyperboloid	euclidean	100.9497653397654	178444.33003429175	5	2	43	0.1	1000	5
hyperboloid	hyperboloid	6.927018879107988e-07	244666.27710278574	5	2	43	0.1	1000	5
poincare	euclidean	0.00958374823312041	210712.44787362724	5	2	43	0.1	1000	10
poincare	poincare	0.09465766085488912	209703.06287728474	5	2	43	0.1	1000	10
hyperboloid	euclidean	4406.891368787746	188011.9233056928	5	2	43	0.1	1000	10
hyperboloid	hyperboloid	1.019457084058518e-05	202639.95967961088	5	2	43	0.1	1000	10
poincare	euclidean	0.012250624456119165	202598.62630157146	5	2	43	0.5	1000	2
poincare	poincare	0.16901488067805054	201521.5543502443	5	2	43	0.5	1000	2
hyperboloid	euclidean	11573769.986278115	11604780.890724046	5	2	43	0.5	1000	2
hyperboloid	hyperboloid	0.0005761120524093289	211019.01156533408	5	2	43	0.5	1000	2
poincare	euclidean	0.011973449996288004	204330.29614336693	5	2	43	0.5	1000	5
poincare	poincare	0.25951763141404655	203237.04936111716	5	2	43	0.5	1000	5
hyperboloid	euclidean	736450.5399759237	419640.0972232157	5	2	43	0.5	1000	5
hyperboloid	hyperboloid	2.8746901489393973e-05	228129.13189322982	5	2	43	0.5	1000	5
poincare	euclidean	0.026498771567463685	212891.10449181564	5	2	43	0.5	1000	10
poincare	poincare	0.5490784486967056	211467.36465577938	5	2	43	0.5	1000	10
hyperboloid	euclidean	108918154.06744693	106780712.09499441	5	2	43	0.5	1000	10
hyperboloid	hyperboloid	2.244500294682197e-05	191734.9349304517	5	2	43	0.5	1000	10
poincare	euclidean	0.0024730313573373057	205133.16872365985	5	2	44	0.1	1000	2
poincare	poincare	0.04059938120568753	203887.87363931522	5	2	44	0.1	1000	2
hyperboloid	euclidean	1934.5619279989303	165095.3172432376	5	2	44	0.1	1000	2
hyperboloid	hyperboloid	1.1409749833508624e-06	204743.68375602484	5	2	44	0.1	1000	2
poincare	euclidean	0.0031086295667676457	216349.24252279033	5	2	44	0.1	1000	5
poincare	poincare	0.033540020901853144	215141.71875399674	5	2	44	0.1	1000	5
hyperboloid	euclidean	414.8009927567572	180395.30556979033	5	2	44	0.1	1000	5
hyperboloid	hyperboloid	3.567484042295944e-07	206627.26107416293	5	2	44	0.1	1000	5
poincare	euclidean	0.007166212501495157	211244.82009261145	5	2	44	0.1	1000	10
poincare	poincare	0.08269368790937047	210158.8891210206	5	2	44	0.1	1000	10
hyperboloid	euclidean	1294.5224059711295	185052.53621515736	5	2	44	0.1	1000	10
